"Country","Year","Population (in thousands) total"
"Afghanistan","2010","27962.2"
"Albania","2010","2901.9"
"Algeria","2010","36036.2"
"Andorra","2010","84.4"
"Angola","2010","21220"
"Antigua and Barbuda","2010","87.2"
"Argentina","2010","41222.9"
"Armenia","2010","2963.5"
"Australia","2010","22162.9"
"Austria","2010","8392"
"Azerbaijan","2010","9099.9"
"Bahamas","2010","360.8"
"Bahrain","2010","1261.3"
"Bangladesh","2010","151617"
"Barbados","2010","279.6"
"Belarus","2010","9492.1"
"Belgium","2010","10930"
"Belize","2010","321.6"
"Benin","2010","9509.8"
"Bhutan","2010","720.2"
"Bolivia (Plurinational State of)","2010","9918.2"
"Bosnia and Herzegovina","2010","3835.3"
"Botswana","2010","2047.8"
"Brazil","2010","198614"
"Brunei Darussalam","2010","393.3"
"Bulgaria","2010","7407.3"
"Burkina Faso","2010","15632.1"
"Burundi","2010","9461.1"
"Côte d'Ivoire","2010","20131.7"
"Cabo Verde","2010","490.4"
"Cambodia","2010","14363.6"
"Cameroon","2010","20590.7"
"Canada","2010","34126.2"
"Central African Republic","2010","4445"
"Chad","2010","11896.4"
"Chile","2010","17015"
"China","2010","1.30E+06"
"Colombia","2010","45918.1"
"Comoros","2010","698.7"
"Congo","2010","4066.1"
"Cook Islands","2010","20.3"
"Costa Rica","2010","4545.3"
"Croatia","2010","4316.4"
"Cuba","2010","11308.1"
"Cyprus","2010","1103.7"
"Czechia","2010","10506.6"
"Democratic People's Republic of Korea","2010","24500.5"
"Democratic Republic of the Congo","2010","65938.7"
"Denmark","2010","5551"
"Djibouti","2010","830.8"
"Dominica","2010","71.2"
"Dominican Republic","2010","9898"
"Ecuador","2010","14934.7"
"Egypt","2010","82041"
"El Salvador","2010","6038.3"
"Equatorial Guinea","2010","728.7"
"Eritrea","2010","4689.7"
"Estonia","2010","1332.1"
"Ethiopia","2010","87561.8"
"Fiji","2010","860"
"Finland","2010","5367.7"
"France","2010","62961.1"
"Gabon","2010","1541.9"
